study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	library_name	study_alias	run_alias	fastq_ftp	submitted_ftp	sra_ftp	sample_title
PRJNA294605	SRP074153	SAMN04161035	SRS1446911	SRX1775705	SRR3546782	408170	human gut metagenome		PRJNA294605	NIHY1_23	ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/002/SRR3546782/SRR3546782_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/002/SRR3546782/SRR3546782_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR354/002/SRR3546782	This sample has been submitted by pda|info@madebydna.com on 2016-05-21; human gut metagenome
PRJNA294605	SRP074153	SAMN04161035	SRS1446911	SRX3363972	SRR6257372	408170	human gut metagenome	N1_023_007G1	PRJNA294605	b023-d007.r2.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/002/SRR6257372/SRR6257372_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/002/SRR6257372/SRR6257372_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/002/SRR6257372	This sample has been submitted by pda|info@madebydna.com on 2016-05-21; human gut metagenome
PRJNA294605	SRP074153	SAMN04161035	SRS1446911	SRX3363971	SRR6257373	408170	human gut metagenome	N1_023_009G1	PRJNA294605	b023-d009.r1.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/003/SRR6257373/SRR6257373_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/003/SRR6257373/SRR6257373_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/003/SRR6257373	This sample has been submitted by pda|info@madebydna.com on 2016-05-21; human gut metagenome
PRJNA294605	SRP074153	SAMN04161034	SRS1446910	SRX3363970	SRR6257374	408170	human gut metagenome	N1_021_028G1	PRJNA294605	b021-d028.r2.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/004/SRR6257374/SRR6257374_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/004/SRR6257374/SRR6257374_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/004/SRR6257374	This sample has been submitted by pda|info@madebydna.com on 2016-05-21; human gut metagenome
PRJNA294605	SRP074153	SAMN04161034	SRS1446910	SRX3363969	SRR6257375	408170	human gut metagenome	N1_021_030G1	PRJNA294605	b021-d030.r2.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/005/SRR6257375/SRR6257375_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/005/SRR6257375/SRR6257375_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/005/SRR6257375	This sample has been submitted by pda|info@madebydna.com on 2016-05-21; human gut metagenome
PRJNA294605	SRP074153	SAMN04161035	SRS1446911	SRX3363968	SRR6257376	408170	human gut metagenome	N1_023_015G1	PRJNA294605	b023-d015.r1.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/006/SRR6257376/SRR6257376_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/006/SRR6257376/SRR6257376_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/006/SRR6257376	This sample has been submitted by pda|info@madebydna.com on 2016-05-21; human gut metagenome
PRJNA294605	SRP074153	SAMN04161035	SRS1446911	SRX3363967	SRR6257377	408170	human gut metagenome	N1_023_017G1	PRJNA294605	b023-d017.r1.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/007/SRR6257377/SRR6257377_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/007/SRR6257377/SRR6257377_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/007/SRR6257377	This sample has been submitted by pda|info@madebydna.com on 2016-05-21; human gut metagenome
PRJNA294605	SRP074153	SAMN04161035	SRS1446911	SRX3363966	SRR6257378	408170	human gut metagenome	N1_023_013G1	PRJNA294605	b023-d013.r1.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/008/SRR6257378/SRR6257378_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/008/SRR6257378/SRR6257378_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/008/SRR6257378	This sample has been submitted by pda|info@madebydna.com on 2016-05-21; human gut metagenome
PRJNA294605	SRP074153	SAMN04161035	SRS1446911	SRX3363965	SRR6257379	408170	human gut metagenome	N1_023_014G1	PRJNA294605	b023-d014.r1.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/009/SRR6257379/SRR6257379_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/009/SRR6257379/SRR6257379_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/009/SRR6257379	This sample has been submitted by pda|info@madebydna.com on 2016-05-21; human gut metagenome
PRJNA294605	SRP074153	SAMN04161035	SRS1446911	SRX3363964	SRR6257380	408170	human gut metagenome	N1_023_018G1	PRJNA294605	b023-d018.r1.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/000/SRR6257380/SRR6257380_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/000/SRR6257380/SRR6257380_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/000/SRR6257380	This sample has been submitted by pda|info@madebydna.com on 2016-05-21; human gut metagenome
PRJNA294605	SRP074153	SAMN04161035	SRS1446911	SRX3363963	SRR6257381	408170	human gut metagenome	N1_023_019G1	PRJNA294605	b023-d019.r1.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/001/SRR6257381/SRR6257381_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/001/SRR6257381/SRR6257381_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/001/SRR6257381	This sample has been submitted by pda|info@madebydna.com on 2016-05-21; human gut metagenome
PRJNA294605	SRP074153	SAMN04161025	SRS1417035	SRX3363962	SRR6257382	408170	human gut metagenome	N1_003_018G1	PRJNA294605	b003-d018.r1.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/002/SRR6257382/SRR6257382_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/002/SRR6257382/SRR6257382_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/002/SRR6257382	This sample has been submitted by pda|info@madebydna.com on 2016-04-30; human gut metagenome
PRJNA294605	SRP074153	SAMN04161025	SRS1417035	SRX3363961	SRR6257383	408170	human gut metagenome	N1_003_019G1	PRJNA294605	b003-d019.r2.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/003/SRR6257383/SRR6257383_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/003/SRR6257383/SRR6257383_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/003/SRR6257383	This sample has been submitted by pda|info@madebydna.com on 2016-04-30; human gut metagenome
PRJNA294605	SRP074153	SAMN04161025	SRS1417035	SRX3363960	SRR6257384	408170	human gut metagenome	N1_003_021G1	PRJNA294605	b003-d021.r1.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/004/SRR6257384/SRR6257384_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/004/SRR6257384/SRR6257384_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/004/SRR6257384	This sample has been submitted by pda|info@madebydna.com on 2016-04-30; human gut metagenome
PRJNA294605	SRP074153	SAMN04161025	SRS1417035	SRX3363959	SRR6257385	408170	human gut metagenome	N1_003_022G1	PRJNA294605	b003-d022.r1.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/005/SRR6257385/SRR6257385_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/005/SRR6257385/SRR6257385_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/005/SRR6257385	This sample has been submitted by pda|info@madebydna.com on 2016-04-30; human gut metagenome
PRJNA294605	SRP074153	SAMN04161025	SRS1417035	SRX3363958	SRR6257386	408170	human gut metagenome	N1_003_011G1	PRJNA294605	b003-d011.r2.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/006/SRR6257386/SRR6257386_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/006/SRR6257386/SRR6257386_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/006/SRR6257386	This sample has been submitted by pda|info@madebydna.com on 2016-04-30; human gut metagenome
PRJNA294605	SRP074153	SAMN04161025	SRS1417035	SRX3363957	SRR6257387	408170	human gut metagenome	N1_003_013G1	PRJNA294605	b003-d013.r2.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/007/SRR6257387/SRR6257387_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/007/SRR6257387/SRR6257387_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/007/SRR6257387	This sample has been submitted by pda|info@madebydna.com on 2016-04-30; human gut metagenome
PRJNA294605	SRP074153	SAMN04161025	SRS1417035	SRX3363956	SRR6257388	408170	human gut metagenome	N1_003_015G1	PRJNA294605	b003-d015.r1.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/008/SRR6257388/SRR6257388_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/008/SRR6257388/SRR6257388_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/008/SRR6257388	This sample has been submitted by pda|info@madebydna.com on 2016-04-30; human gut metagenome
PRJNA294605	SRP074153	SAMN04161025	SRS1417035	SRX3363955	SRR6257389	408170	human gut metagenome	N1_003_017G1	PRJNA294605	b003-d017.r1.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/009/SRR6257389/SRR6257389_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/009/SRR6257389/SRR6257389_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/009/SRR6257389	This sample has been submitted by pda|info@madebydna.com on 2016-04-30; human gut metagenome
PRJNA294605	SRP074153	SAMN04161025	SRS1417035	SRX3363954	SRR6257390	408170	human gut metagenome	N1_003_023G1	PRJNA294605	b003-d023.r2.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/000/SRR6257390/SRR6257390_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/000/SRR6257390/SRR6257390_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/000/SRR6257390	This sample has been submitted by pda|info@madebydna.com on 2016-04-30; human gut metagenome
PRJNA294605	SRP074153	SAMN04161025	SRS1417035	SRX3363953	SRR6257391	408170	human gut metagenome	N1_003_025G1	PRJNA294605	b003-d025.r1.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/001/SRR6257391/SRR6257391_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/001/SRR6257391/SRR6257391_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/001/SRR6257391	This sample has been submitted by pda|info@madebydna.com on 2016-04-30; human gut metagenome
PRJNA294605	SRP074153	SAMN04161029	SRS1433910	SRX3363952	SRR6257392	408170	human gut metagenome	N1_011_014G1	PRJNA294605	b011-d014.r1.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/002/SRR6257392/SRR6257392_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/002/SRR6257392/SRR6257392_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/002/SRR6257392	This sample has been submitted by pda|info@madebydna.com on 2016-05-13; human gut metagenome
PRJNA294605	SRP074153	SAMN04161029	SRS1433910	SRX3363951	SRR6257393	408170	human gut metagenome	N1_011_015G1	PRJNA294605	b011-d015.r1.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/003/SRR6257393/SRR6257393_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/003/SRR6257393/SRR6257393_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/003/SRR6257393	This sample has been submitted by pda|info@madebydna.com on 2016-05-13; human gut metagenome
PRJNA294605	SRP074153	SAMN04161029	SRS1433910	SRX3363950	SRR6257394	408170	human gut metagenome	N1_011_020G1	PRJNA294605	b011-d020.r1.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/004/SRR6257394/SRR6257394_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/004/SRR6257394/SRR6257394_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/004/SRR6257394	This sample has been submitted by pda|info@madebydna.com on 2016-05-13; human gut metagenome
PRJNA294605	SRP074153	SAMN04161029	SRS1433910	SRX3363949	SRR6257395	408170	human gut metagenome	N1_011_021G1	PRJNA294605	b011-d021.r1.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/005/SRR6257395/SRR6257395_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/005/SRR6257395/SRR6257395_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/005/SRR6257395	This sample has been submitted by pda|info@madebydna.com on 2016-05-13; human gut metagenome
PRJNA294605	SRP074153	SAMN04161028	SRS1437768	SRX3363948	SRR6257396	408170	human gut metagenome	N1_009_038G1	PRJNA294605	b009-d038.r2.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/006/SRR6257396/SRR6257396_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/006/SRR6257396/SRR6257396_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/006/SRR6257396	This sample has been submitted by pda|info@madebydna.com on 2016-05-16; human gut metagenome
PRJNA294605	SRP074153	SAMN04161028	SRS1437768	SRX3363947	SRR6257397	408170	human gut metagenome	N1_009_045G1	PRJNA294605	b009-d045.r1.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/007/SRR6257397/SRR6257397_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/007/SRR6257397/SRR6257397_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/007/SRR6257397	This sample has been submitted by pda|info@madebydna.com on 2016-05-16; human gut metagenome
PRJNA294605	SRP074153	SAMN04161029	SRS1433910	SRX3363946	SRR6257398	408170	human gut metagenome	N1_011_011G1	PRJNA294605	b011-d011.r1.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/008/SRR6257398/SRR6257398_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/008/SRR6257398/SRR6257398_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/008/SRR6257398	This sample has been submitted by pda|info@madebydna.com on 2016-05-13; human gut metagenome
PRJNA294605	SRP074153	SAMN04161029	SRS1433910	SRX3363945	SRR6257399	408170	human gut metagenome	N1_011_013G1	PRJNA294605	b011-d013.r2.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/009/SRR6257399/SRR6257399_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/009/SRR6257399/SRR6257399_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/009/SRR6257399	This sample has been submitted by pda|info@madebydna.com on 2016-05-13; human gut metagenome
PRJNA294605	SRP074153	SAMN04161029	SRS1433910	SRX3363944	SRR6257400	408170	human gut metagenome	N1_011_023G1	PRJNA294605	b011-d023.r1.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/000/SRR6257400/SRR6257400_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/000/SRR6257400/SRR6257400_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/000/SRR6257400	This sample has been submitted by pda|info@madebydna.com on 2016-05-13; human gut metagenome
PRJNA294605	SRP074153	SAMN04161029	SRS1433910	SRX3363943	SRR6257401	408170	human gut metagenome	N1_011_025G1	PRJNA294605	b011-d025.r1.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/001/SRR6257401/SRR6257401_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/001/SRR6257401/SRR6257401_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/001/SRR6257401	This sample has been submitted by pda|info@madebydna.com on 2016-05-13; human gut metagenome
PRJNA294605	SRP074153	SAMN04161034	SRS1446910	SRX3363942	SRR6257402	408170	human gut metagenome	N1_021_017G1	PRJNA294605	b021-d017.r1.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/002/SRR6257402/SRR6257402_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/002/SRR6257402/SRR6257402_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/002/SRR6257402	This sample has been submitted by pda|info@madebydna.com on 2016-05-21; human gut metagenome
PRJNA294605	SRP074153	SAMN04161034	SRS1446910	SRX3363941	SRR6257403	408170	human gut metagenome	N1_021_016G1	PRJNA294605	b021-d016.r2.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/003/SRR6257403/SRR6257403_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/003/SRR6257403/SRR6257403_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/003/SRR6257403	This sample has been submitted by pda|info@madebydna.com on 2016-05-21; human gut metagenome
PRJNA294605	SRP074153	SAMN04161034	SRS1446910	SRX3363940	SRR6257404	408170	human gut metagenome	N1_021_019G1	PRJNA294605	b021-d019.r1.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/004/SRR6257404/SRR6257404_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/004/SRR6257404/SRR6257404_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/004/SRR6257404	This sample has been submitted by pda|info@madebydna.com on 2016-05-21; human gut metagenome
PRJNA294605	SRP074153	SAMN04161034	SRS1446910	SRX3363939	SRR6257405	408170	human gut metagenome	N1_021_018G1	PRJNA294605	b021-d018.r1.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/005/SRR6257405/SRR6257405_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/005/SRR6257405/SRR6257405_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/005/SRR6257405	This sample has been submitted by pda|info@madebydna.com on 2016-05-21; human gut metagenome
PRJNA294605	SRP074153	SAMN04161034	SRS1446910	SRX3363938	SRR6257406	408170	human gut metagenome	N1_021_022G1	PRJNA294605	b021-d022.r1.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/006/SRR6257406/SRR6257406_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/006/SRR6257406/SRR6257406_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/006/SRR6257406	This sample has been submitted by pda|info@madebydna.com on 2016-05-21; human gut metagenome
PRJNA294605	SRP074153	SAMN04161034	SRS1446910	SRX3363937	SRR6257407	408170	human gut metagenome	N1_021_021G1	PRJNA294605	b021-d021.r2.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/007/SRR6257407/SRR6257407_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/007/SRR6257407/SRR6257407_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/007/SRR6257407	This sample has been submitted by pda|info@madebydna.com on 2016-05-21; human gut metagenome
PRJNA294605	SRP074153	SAMN04161034	SRS1446910	SRX3363936	SRR6257408	408170	human gut metagenome	N1_021_024G1	PRJNA294605	b021-d024.r2.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/008/SRR6257408/SRR6257408_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/008/SRR6257408/SRR6257408_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/008/SRR6257408	This sample has been submitted by pda|info@madebydna.com on 2016-05-21; human gut metagenome
PRJNA294605	SRP074153	SAMN04161034	SRS1446910	SRX3363935	SRR6257409	408170	human gut metagenome	N1_021_023G1	PRJNA294605	b021-d023.r2.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/009/SRR6257409/SRR6257409_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/009/SRR6257409/SRR6257409_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/009/SRR6257409	This sample has been submitted by pda|info@madebydna.com on 2016-05-21; human gut metagenome
PRJNA294605	SRP074153	SAMN04161034	SRS1446910	SRX3363934	SRR6257410	408170	human gut metagenome	N1_021_027G1	PRJNA294605	b021-d027.r1.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/000/SRR6257410/SRR6257410_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/000/SRR6257410/SRR6257410_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/000/SRR6257410	This sample has been submitted by pda|info@madebydna.com on 2016-05-21; human gut metagenome
PRJNA294605	SRP074153	SAMN04161034	SRS1446910	SRX3363933	SRR6257411	408170	human gut metagenome	N1_021_026G1	PRJNA294605	b021-d026.r1.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/001/SRR6257411/SRR6257411_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/001/SRR6257411/SRR6257411_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/001/SRR6257411	This sample has been submitted by pda|info@madebydna.com on 2016-05-21; human gut metagenome
