study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	scientific_name	fastq_ftp	sample_alias
PRJNA376566	SAMN06444669	SRS2092521	SRX2698129	SRR5405651	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/001/SRR5405651/SRR5405651.fastq.gz	S2_017_006G1
PRJNA376566	SAMN06444668	SRS2092522	SRX2698130	SRR5405652	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/002/SRR5405652/SRR5405652.fastq.gz	S2_016_028G1
PRJNA376566	SAMN06444667	SRS2092523	SRX2698131	SRR5405653	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/003/SRR5405653/SRR5405653.fastq.gz	S2_016_027G1
PRJNA376566	SAMN06444666	SRS2092524	SRX2698132	SRR5405654	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/004/SRR5405654/SRR5405654.fastq.gz	S2_016_026G1
PRJNA376566	SAMN06444665	SRS2092525	SRX2698133	SRR5405655	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/005/SRR5405655/SRR5405655.fastq.gz	S2_016_025G1
PRJNA376566	SAMN06444664	SRS2092526	SRX2698134	SRR5405656	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/006/SRR5405656/SRR5405656.fastq.gz	S2_016_024G1
PRJNA376566	SAMN06444663	SRS2092527	SRX2698135	SRR5405657	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/007/SRR5405657/SRR5405657.fastq.gz	S2_016_023G1
PRJNA376566	SAMN06444662	SRS2092528	SRX2698136	SRR5405658	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/008/SRR5405658/SRR5405658.fastq.gz	S2_016_021G1
PRJNA376566	SAMN06444661	SRS2092529	SRX2698137	SRR5405659	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/009/SRR5405659/SRR5405659.fastq.gz	S2_016_019G1
PRJNA376566	SAMN06444660	SRS2092530	SRX2698138	SRR5405660	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/000/SRR5405660/SRR5405660.fastq.gz	S2_016_018G1
PRJNA376566	SAMN06444659	SRS2092531	SRX2698139	SRR5405661	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/001/SRR5405661/SRR5405661.fastq.gz	S2_016_017G1
PRJNA376566	SAMN06444658	SRS2092532	SRX2698140	SRR5405662	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/002/SRR5405662/SRR5405662.fastq.gz	S2_016_016G1
PRJNA376566	SAMN06444657	SRS2092533	SRX2698141	SRR5405663	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/003/SRR5405663/SRR5405663.fastq.gz	S2_016_015G1
PRJNA376566	SAMN06444656	SRS2092534	SRX2698142	SRR5405664	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/004/SRR5405664/SRR5405664.fastq.gz	S2_016_014G1
PRJNA376566	SAMN06444655	SRS2092536	SRX2698143	SRR5405665	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/005/SRR5405665/SRR5405665.fastq.gz	S2_016_013G1
PRJNA376566	SAMN06444654	SRS2092535	SRX2698144	SRR5405666	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/006/SRR5405666/SRR5405666.fastq.gz	S2_016_011G1
PRJNA376566	SAMN06444653	SRS2092539	SRX2698145	SRR5405667	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/007/SRR5405667/SRR5405667.fastq.gz	S2_016_010G1
PRJNA376566	SAMN06444652	SRS2092538	SRX2698146	SRR5405668	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/008/SRR5405668/SRR5405668.fastq.gz	S2_016_009G1
PRJNA376566	SAMN06444651	SRS2092537	SRX2698147	SRR5405669	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/009/SRR5405669/SRR5405669.fastq.gz	S2_016_008G1
PRJNA376566	SAMN06444650	SRS2092541	SRX2698148	SRR5405670	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/000/SRR5405670/SRR5405670.fastq.gz	S2_016_007G1
PRJNA376566	SAMN06444649	SRS2092542	SRX2698149	SRR5405671	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/001/SRR5405671/SRR5405671.fastq.gz	S2_015_013G1
PRJNA376566	SAMN06444648	SRS2092540	SRX2698150	SRR5405672	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/002/SRR5405672/SRR5405672.fastq.gz	S2_015_012G1
PRJNA376566	SAMN06444647	SRS2092543	SRX2698151	SRR5405673	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/003/SRR5405673/SRR5405673.fastq.gz	S2_015_011G1
PRJNA376566	SAMN06444646	SRS2092544	SRX2698152	SRR5405674	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/004/SRR5405674/SRR5405674.fastq.gz	S2_015_010G1
PRJNA376566	SAMN06444645	SRS2092545	SRX2698153	SRR5405675	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/005/SRR5405675/SRR5405675.fastq.gz	S2_015_009G1
PRJNA376566	SAMN06444644	SRS2092547	SRX2698154	SRR5405676	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/006/SRR5405676/SRR5405676.fastq.gz	S2_015_006G1
PRJNA376566	SAMN06444643	SRS2092546	SRX2698155	SRR5405677	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/007/SRR5405677/SRR5405677.fastq.gz	S2_015_005G1
PRJNA376566	SAMN06444642	SRS2092548	SRX2698156	SRR5405678	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/008/SRR5405678/SRR5405678.fastq.gz	S2_014_028G1
PRJNA376566	SAMN06444641	SRS2092549	SRX2698157	SRR5405679	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/009/SRR5405679/SRR5405679.fastq.gz	S2_014_026G1
PRJNA376566	SAMN06444640	SRS2092551	SRX2698158	SRR5405680	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/000/SRR5405680/SRR5405680.fastq.gz	S2_014_025G1
PRJNA376566	SAMN06444639	SRS2092550	SRX2698159	SRR5405681	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/001/SRR5405681/SRR5405681.fastq.gz	S2_014_024G1
PRJNA376566	SAMN06444638	SRS2092554	SRX2698160	SRR5405682	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/002/SRR5405682/SRR5405682.fastq.gz	S2_014_023G1
PRJNA376566	SAMN06444637	SRS2092553	SRX2698161	SRR5405683	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/003/SRR5405683/SRR5405683.fastq.gz	S2_014_021G1
PRJNA376566	SAMN06444636	SRS2092552	SRX2698162	SRR5405684	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/004/SRR5405684/SRR5405684.fastq.gz	S2_014_020G1
PRJNA376566	SAMN06444635	SRS2092556	SRX2698163	SRR5405685	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/005/SRR5405685/SRR5405685.fastq.gz	S2_014_019G1
PRJNA376566	SAMN06444634	SRS2092555	SRX2698164	SRR5405686	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/006/SRR5405686/SRR5405686.fastq.gz	S2_014_018G1
PRJNA376566	SAMN06444633	SRS2092557	SRX2698165	SRR5405687	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/007/SRR5405687/SRR5405687.fastq.gz	S2_014_017G1
PRJNA376566	SAMN06444632	SRS2092559	SRX2698166	SRR5405688	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/008/SRR5405688/SRR5405688.fastq.gz	S2_014_016G1
PRJNA376566	SAMN06444631	SRS2092558	SRX2698167	SRR5405689	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/009/SRR5405689/SRR5405689.fastq.gz	S2_014_015G1
PRJNA376566	SAMN06444630	SRS2092560	SRX2698168	SRR5405690	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/000/SRR5405690/SRR5405690.fastq.gz	S2_014_013G1
PRJNA376566	SAMN06444629	SRS2092561	SRX2698169	SRR5405691	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/001/SRR5405691/SRR5405691.fastq.gz	S2_014_011G1
PRJNA376566	SAMN06444628	SRS2092562	SRX2698170	SRR5405692	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/002/SRR5405692/SRR5405692.fastq.gz	S2_014_010G1
PRJNA376566	SAMN06444627	SRS2092564	SRX2698171	SRR5405693	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/003/SRR5405693/SRR5405693.fastq.gz	S2_014_009G1
PRJNA376566	SAMN06444626	SRS2092563	SRX2698172	SRR5405694	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/004/SRR5405694/SRR5405694.fastq.gz	S2_014_007G1
PRJNA376566	SAMN06444625	SRS2092565	SRX2698173	SRR5405695	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/005/SRR5405695/SRR5405695.fastq.gz	S2_012_027G1
PRJNA376566	SAMN06444624	SRS2092566	SRX2698174	SRR5405696	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/006/SRR5405696/SRR5405696.fastq.gz	S2_012_026G1
PRJNA376566	SAMN06444623	SRS2092567	SRX2698175	SRR5405697	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/007/SRR5405697/SRR5405697.fastq.gz	S2_012_025G1
PRJNA376566	SAMN06444622	SRS2092568	SRX2698176	SRR5405698	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/008/SRR5405698/SRR5405698.fastq.gz	S2_012_024G1
PRJNA376566	SAMN06444621	SRS2092569	SRX2698177	SRR5405699	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/009/SRR5405699/SRR5405699.fastq.gz	S2_012_023G1
PRJNA376566	SAMN06444620	SRS2092570	SRX2698178	SRR5405700	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/000/SRR5405700/SRR5405700.fastq.gz	S2_012_022G1
PRJNA376566	SAMN06444619	SRS2092571	SRX2698179	SRR5405701	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/001/SRR5405701/SRR5405701.fastq.gz	S2_012_021G1
PRJNA376566	SAMN06444618	SRS2092572	SRX2698180	SRR5405702	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/002/SRR5405702/SRR5405702.fastq.gz	S2_012_020G1
PRJNA376566	SAMN06444617	SRS2092573	SRX2698181	SRR5405703	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/003/SRR5405703/SRR5405703.fastq.gz	S2_012_019G1
PRJNA376566	SAMN06444616	SRS2092574	SRX2698182	SRR5405704	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/004/SRR5405704/SRR5405704.fastq.gz	S2_012_018G1
PRJNA376566	SAMN06444615	SRS2092576	SRX2698183	SRR5405705	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/005/SRR5405705/SRR5405705.fastq.gz	S2_012_017G1
PRJNA376566	SAMN06444614	SRS2092575	SRX2698184	SRR5405706	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/006/SRR5405706/SRR5405706.fastq.gz	S2_012_016G1
PRJNA376566	SAMN06444613	SRS2092577	SRX2698185	SRR5405707	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/007/SRR5405707/SRR5405707.fastq.gz	S2_012_015G1
PRJNA376566	SAMN06444612	SRS2092578	SRX2698186	SRR5405708	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/008/SRR5405708/SRR5405708.fastq.gz	S2_012_014G1
PRJNA376566	SAMN06444611	SRS2092579	SRX2698187	SRR5405709	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/009/SRR5405709/SRR5405709.fastq.gz	S2_012_013G1
PRJNA376566	SAMN06444610	SRS2092580	SRX2698188	SRR5405710	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/000/SRR5405710/SRR5405710.fastq.gz	S2_012_012G1
PRJNA376566	SAMN06444609	SRS2092583	SRX2698189	SRR5405711	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/001/SRR5405711/SRR5405711.fastq.gz	S2_012_011G1
PRJNA376566	SAMN06444608	SRS2092582	SRX2698190	SRR5405712	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/002/SRR5405712/SRR5405712.fastq.gz	S2_012_010G1
PRJNA376566	SAMN06444607	SRS2092581	SRX2698191	SRR5405713	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/003/SRR5405713/SRR5405713.fastq.gz	S2_012_009G1
PRJNA376566	SAMN06444606	SRS2092584	SRX2698192	SRR5405714	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/004/SRR5405714/SRR5405714.fastq.gz	S2_012_008G1
PRJNA376566	SAMN06444605	SRS2092585	SRX2698193	SRR5405715	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/005/SRR5405715/SRR5405715.fastq.gz	S2_012_007G1
PRJNA376566	SAMN06444604	SRS2092586	SRX2698194	SRR5405716	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/006/SRR5405716/SRR5405716.fastq.gz	S2_012_005G1
PRJNA376566	SAMN06444603	SRS2092587	SRX2698195	SRR5405717	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/007/SRR5405717/SRR5405717.fastq.gz	S2_011_028G1
PRJNA376566	SAMN06444602	SRS2092588	SRX2698196	SRR5405718	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/008/SRR5405718/SRR5405718.fastq.gz	S2_011_026G1
PRJNA376566	SAMN06444601	SRS2092589	SRX2698197	SRR5405719	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/009/SRR5405719/SRR5405719.fastq.gz	S2_011_025G1
PRJNA376566	SAMN06444600	SRS2092591	SRX2698198	SRR5405720	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/000/SRR5405720/SRR5405720.fastq.gz	S2_011_024G1
PRJNA376566	SAMN06444599	SRS2092590	SRX2698199	SRR5405721	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/001/SRR5405721/SRR5405721.fastq.gz	S2_011_023G1
PRJNA376566	SAMN06444598	SRS2092592	SRX2698200	SRR5405722	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/002/SRR5405722/SRR5405722.fastq.gz	S2_011_022G1
PRJNA376566	SAMN06444597	SRS2092595	SRX2698201	SRR5405723	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/003/SRR5405723/SRR5405723.fastq.gz	S2_011_021G1
PRJNA376566	SAMN06444596	SRS2092594	SRX2698202	SRR5405724	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/004/SRR5405724/SRR5405724.fastq.gz	S2_011_020G1
PRJNA376566	SAMN06444595	SRS2092593	SRX2698203	SRR5405725	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/005/SRR5405725/SRR5405725.fastq.gz	S2_011_019G1
PRJNA376566	SAMN06444594	SRS2092598	SRX2698204	SRR5405726	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/006/SRR5405726/SRR5405726.fastq.gz	S2_011_018G1
PRJNA376566	SAMN06444593	SRS2092596	SRX2698205	SRR5405727	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/007/SRR5405727/SRR5405727.fastq.gz	S2_011_017G1
PRJNA376566	SAMN06444592	SRS2092597	SRX2698206	SRR5405728	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/008/SRR5405728/SRR5405728.fastq.gz	S2_011_016G1
PRJNA376566	SAMN06444591	SRS2092599	SRX2698207	SRR5405729	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/009/SRR5405729/SRR5405729.fastq.gz	S2_011_015G1
PRJNA376566	SAMN06444590	SRS2092600	SRX2698208	SRR5405730	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/000/SRR5405730/SRR5405730.fastq.gz	S2_011_014G1
PRJNA376566	SAMN06444589	SRS2092601	SRX2698209	SRR5405731	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/001/SRR5405731/SRR5405731.fastq.gz	S2_011_013G1
PRJNA376566	SAMN06444588	SRS2092602	SRX2698210	SRR5405732	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/002/SRR5405732/SRR5405732.fastq.gz	S2_011_012G1
PRJNA376566	SAMN06444587	SRS2092603	SRX2698211	SRR5405733	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/003/SRR5405733/SRR5405733.fastq.gz	S2_011_011G1
PRJNA376566	SAMN06444586	SRS2092604	SRX2698212	SRR5405734	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/004/SRR5405734/SRR5405734.fastq.gz	S2_011_010G1
PRJNA376566	SAMN06444585	SRS2092605	SRX2698213	SRR5405735	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/005/SRR5405735/SRR5405735.fastq.gz	S2_011_009G1
PRJNA376566	SAMN06444584	SRS2092606	SRX2698214	SRR5405736	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/006/SRR5405736/SRR5405736.fastq.gz	S2_011_008G1
PRJNA376566	SAMN06444583	SRS2092608	SRX2698215	SRR5405737	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/007/SRR5405737/SRR5405737.fastq.gz	S2_011_007G1
